Name,Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,RF,CF,q,Pow,Remark,Reference,,,
,m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,,,m3/s/m,%,,,,,
028-148,0.073,1.248,1.040,1.135,0.700,100,0,0.200,0.072,1.263,1.053,1.148,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.070,0.000,0.000,0.00,0.000,0.070,0.000,4,1,2.556E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-149,0.056,1.644,1.370,1.495,0.700,100,0,0.200,0.061,1.678,1.398,1.525,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.075,0.000,0.000,0.00,0.000,0.075,0.000,3,1,1.763E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-150,0.059,1.212,1.010,1.102,0.700,100,0,0.200,0.058,1.222,1.018,1.111,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.084,0.000,0.000,0.00,0.000,0.084,0.000,4,1,4.557E-07,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-151,0.099,1.308,1.090,1.189,0.700,100,0,0.200,0.091,1.319,1.099,1.199,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.093,0.000,0.000,0.00,0.000,0.093,0.000,3,1,1.168E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-152,0.114,1.524,1.270,1.385,0.700,100,0,0.200,0.100,1.555,1.296,1.414,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,3,1,4.348E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-153,0.112,1.476,1.230,1.342,0.700,100,0,0.200,0.099,1.493,1.244,1.357,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,3,1,2.440E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-154,0.208,1.836,1.530,1.669,0.700,100,0,0.200,0.111,1.868,1.557,1.698,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,3,1,1.965E-03,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-155,0.108,2.148,1.790,1.953,0.700,100,0,0.200,0.107,2.182,1.818,1.984,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,3,1,9.252E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-156,0.079,1.260,1.050,1.145,0.700,100,0,0.200,0.077,1.306,1.088,1.187,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.105,0.000,0.000,0.00,0.000,0.105,0.000,4,1,1.370E-06,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-157,0.144,1.812,1.510,1.647,0.700,100,0,0.200,0.108,1.829,1.524,1.663,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.133,0.000,0.000,0.00,0.000,0.133,0.000,3,1,4.975E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-158,0.143,1.656,1.380,1.505,0.700,100,0,0.200,0.106,1.682,1.402,1.529,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.133,0.000,0.000,0.00,0.000,0.133,0.000,3,1,3.018E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-159,0.145,1.500,1.250,1.364,0.700,100,0,0.200,0.104,1.530,1.275,1.391,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.133,0.000,0.000,0.00,0.000,0.133,0.000,3,1,1.922E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-160,0.136,2.484,2.070,2.258,0.700,100,0,0.200,0.115,2.521,2.101,2.292,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.133,0.000,0.000,0.00,0.000,0.133,0.000,3,1,8.230E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-161,0.105,1.356,1.130,1.233,0.700,100,0,0.200,0.094,1.370,1.142,1.245,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.140,0.000,0.000,0.00,0.000,0.140,0.000,3,1,1.191E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-162,0.111,1.608,1.340,1.462,0.700,100,0,0.200,0.101,1.635,1.363,1.486,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.150,0.000,0.000,0.00,0.000,0.150,0.000,3,1,5.873E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-163,0.109,1.476,1.230,1.342,0.700,100,0,0.200,0.098,1.493,1.244,1.357,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.150,0.000,0.000,0.00,0.000,0.150,0.000,3,1,2.406E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-164,0.110,2.220,1.850,2.018,0.700,100,0,0.200,0.108,2.247,1.873,2.043,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.150,0.000,0.000,0.00,0.000,0.150,0.000,3,1,3.093E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-165,0.106,1.320,1.100,1.200,0.700,100,0,0.200,0.094,1.344,1.120,1.222,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.186,0.000,0.000,0.00,0.000,0.186,0.000,3,1,9.104E-07,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-166,0.112,1.572,1.310,1.429,0.700,100,0,0.200,0.101,1.602,1.335,1.456,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,1.364E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-167,0.144,1.788,1.490,1.625,0.700,100,0,0.200,0.108,1.818,1.515,1.653,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,8.996E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-168,0.112,1.464,1.220,1.331,0.700,100,0,0.200,0.099,1.489,1.241,1.354,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,4.954E-06,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-169,0.146,1.704,1.420,1.549,0.700,100,0,0.200,0.107,1.724,1.437,1.567,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,4.863E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-170,0.149,1.512,1.260,1.375,0.700,100,0,0.200,0.104,1.534,1.278,1.395,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,4.270E-05,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-171,0.207,1.860,1.550,1.691,0.700,100,0,0.200,0.111,1.878,1.565,1.707,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,1.820E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-172,0.110,2.208,1.840,2.007,0.700,100,0,0.200,0.108,2.247,1.873,2.043,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,1.016E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
028-173,0.141,2.496,2.080,2.269,0.700,100,0,0.200,0.116,2.521,2.101,2.292,0.200,0.000,1.00,0.00,0.00,0.00,0.00,0.200,0.000,0.000,0.00,0.000,0.200,0.000,3,1,2.391E-04,,,"Herbert D.M., February 1993. Wave overtopping of vertical walls, Hydraulic Research Institute Wallingford, Report SR316.",,,
030-001,0.032,0.730,0.608,0.663,0.320,20,0,0.160,0.030,0.753,0.628,0.685,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,1.136E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-002,0.049,0.907,0.756,0.825,0.320,20,0,0.160,0.048,0.937,0.781,0.852,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,6.920E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-003,0.069,1.080,0.900,0.982,0.320,20,0,0.160,0.069,1.091,0.909,0.992,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,1.714E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-004,0.034,0.730,0.608,0.663,0.320,20,0,0.160,0.033,0.753,0.628,0.685,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,5.183E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-005,0.052,0.917,0.764,0.833,0.320,20,0,0.160,0.050,0.930,0.775,0.846,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,5.063E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-006,0.070,1.090,0.908,0.991,0.320,20,0,0.160,0.070,1.124,0.936,1.021,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,1.142E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-007,0.034,0.730,0.608,0.663,0.320,20,0,0.160,0.033,0.753,0.628,0.685,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,1.616E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-008,0.052,0.917,0.764,0.833,0.320,20,0,0.160,0.050,0.930,0.775,0.846,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,2.808E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-009,0.070,1.090,0.908,0.991,0.320,20,0,0.160,0.070,1.124,0.936,1.021,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,6.872E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-010,0.094,1.260,1.050,1.145,0.320,20,0,0.160,0.090,1.272,1.060,1.157,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,1.363E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-011,0.055,1.212,1.010,1.102,0.320,20,0,0.160,0.057,1.228,1.024,1.117,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,1.024E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-012,0.056,0.950,0.792,0.864,0.320,20,0,0.160,0.055,0.959,0.799,0.872,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,5.200E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-013,0.074,1.106,0.922,1.006,0.320,20,0,0.160,0.074,1.117,0.931,1.016,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,2.601E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-014,0.077,1.253,1.044,1.139,0.320,20,0,0.160,0.078,1.272,1.060,1.157,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,3.848E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-015,0.095,1.262,1.052,1.148,0.320,20,0,0.160,0.091,1.272,1.060,1.157,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,7.096E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-016,0.097,1.270,1.058,1.154,0.320,20,0,0.160,0.092,1.310,1.092,1.191,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,8.000E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-017,0.050,0.914,0.762,0.831,0.320,20,0,0.160,0.049,0.930,0.775,0.846,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.120,0.000,0.000,0.00,0.000,0.120,0.000,2,1,4.336E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-018,0.068,1.078,0.898,0.980,0.320,20,0,0.160,0.068,1.091,0.909,0.992,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.120,0.000,0.000,0.00,0.000,0.120,0.000,2,1,2.136E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-019,0.090,1.255,1.046,1.141,0.320,20,0,0.160,0.088,1.272,1.060,1.157,0.160,0.000,1.00,1.00,1.00,1.00,1.00,0.120,0.000,0.000,0.00,0.000,0.120,0.000,2,1,6.592E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-020,0.032,0.732,0.610,0.665,0.320,20,0,0.160,0.031,0.747,0.623,0.679,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,1.960E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-021,0.050,0.924,0.770,0.840,0.320,20,0,0.160,0.049,0.938,0.781,0.852,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,9.360E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-022,0.070,1.070,0.892,0.973,0.320,20,0,0.160,0.070,1.097,0.915,0.998,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,2.192E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-023,0.031,0.739,0.616,0.672,0.320,20,0,0.160,0.029,0.747,0.623,0.679,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,2.216E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-024,0.049,0.900,0.750,0.818,0.320,20,0,0.160,0.048,0.910,0.758,0.827,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,4.383E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-025,0.069,1.073,0.894,0.975,0.320,20,0,0.160,0.069,1.091,0.909,0.992,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,1.356E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-026,0.031,0.732,0.610,0.665,0.320,20,0,0.160,0.029,0.747,0.623,0.679,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,6.960E-06,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-027,0.049,0.912,0.760,0.829,0.320,20,0,0.160,0.048,0.930,0.775,0.846,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,3.112E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-028,0.068,1.085,0.904,0.986,0.320,20,0,0.160,0.068,1.091,0.909,0.992,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,7.360E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-029,0.091,1.260,1.050,1.145,0.320,20,0,0.160,0.088,1.272,1.060,1.157,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,1.528E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-030,0.054,1.219,1.016,1.108,0.320,20,0,0.160,0.056,1.228,1.024,1.117,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,2.184E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-031,0.058,0.960,0.800,0.873,0.320,20,0,0.160,0.058,0.970,0.808,0.882,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,1.328E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-032,0.073,1.121,0.934,1.019,0.320,20,0,0.160,0.073,1.131,0.943,1.028,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,5.280E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-033,0.077,1.248,1.040,1.135,0.320,20,0,0.160,0.078,1.278,1.065,1.162,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,6.144E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-034,0.094,1.270,1.058,1.154,0.320,20,0,0.160,0.091,1.310,1.092,1.191,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,1.048E-03,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-035,0.095,1.265,1.054,1.150,0.320,20,0,0.160,0.091,1.272,1.060,1.157,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,9.680E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-036,0.050,0.917,0.764,0.833,0.320,20,0,0.160,0.049,0.930,0.775,0.846,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.120,0.000,0.000,0.00,0.000,0.120,0.000,2,1,5.784E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-037,0.068,1.082,0.902,0.984,0.320,20,0,0.160,0.069,1.091,0.909,0.992,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.120,0.000,0.000,0.00,0.000,0.120,0.000,2,1,2.960E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-038,0.093,1.255,1.046,1.141,0.320,20,0,0.160,0.090,1.272,1.060,1.157,0.160,0.000,1.00,2.00,2.00,2.00,2.00,0.120,0.000,0.000,0.00,0.000,0.120,0.000,2,1,8.960E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-039,0.031,0.737,0.614,0.670,0.320,20,0,0.160,0.030,0.747,0.623,0.679,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,4.123E-06,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-040,0.049,0.914,0.762,0.831,0.320,20,0,0.160,0.048,0.930,0.775,0.846,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,1.877E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-041,0.068,1.082,0.902,0.984,0.320,20,0,0.160,0.068,1.091,0.909,0.992,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.040,0.000,0.000,0.00,0.000,0.040,0.000,2,1,8.456E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-042,0.034,0.737,0.614,0.670,0.320,20,0,0.160,0.032,0.747,0.623,0.679,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,0.000E+00,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-043,0.050,0.914,0.762,0.831,0.320,20,0,0.160,0.049,0.930,0.775,0.846,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,3.184E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-044,0.070,1.078,0.898,0.980,0.320,20,0,0.160,0.070,1.091,0.909,0.992,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,2.840E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-045,0.094,1.258,1.048,1.143,0.320,20,0,0.160,0.090,1.272,1.060,1.157,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.060,0.000,0.000,0.00,0.000,0.060,0.000,2,1,7.944E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-046,0.034,0.737,0.614,0.670,0.320,20,0,0.160,0.032,0.747,0.623,0.679,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,0.000E+00,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-047,0.050,0.914,0.762,0.831,0.320,20,0,0.160,0.049,0.930,0.775,0.846,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,1.064E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-048,0.068,1.078,0.898,0.980,0.320,20,0,0.160,0.069,1.091,0.909,0.992,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,1.067E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-049,0.092,1.018,0.848,0.925,0.320,20,0,0.160,0.084,1.032,0.860,0.938,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.080,0.000,0.000,0.00,0.000,0.080,0.000,2,1,4.168E-04,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-050,0.051,0.919,0.766,0.836,0.320,20,0,0.160,0.050,0.930,0.775,0.846,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,7.376E-07,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-051,0.055,1.212,1.010,1.102,0.320,20,0,0.160,0.057,1.228,1.024,1.117,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,3.512E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-052,0.056,0.950,0.792,0.864,0.320,20,0,0.160,0.055,0.959,0.799,0.872,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,2.928E-06,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
030-053,0.069,1.092,0.910,0.993,0.320,20,0,0.160,0.070,1.117,0.931,1.016,0.160,0.000,1.00,4.00,4.00,4.00,4.00,0.100,0.000,0.000,0.00,0.000,0.100,0.000,2,1,3.392E-05,,,"Owen M.W., June 1980. Design of seawalls allowing for wave overtopping, Hydraulic Research Institute Wallingford, Report EX924.",,,
